captured_at,capture_season,capture_week,source,season,conference,team,offense_overall,offense_passing,offense_rushing,offense_firstDown,offense_secondDown,offense_thirdDown,offense_cumulative,defense_overall,defense_passing,defense_rushing,defense_firstDown,defense_secondDown,defense_thirdDown,defense_cumulative
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Georgia,0.62,0.69,0.55,0.44,0.59,1.53,"{'total': 68, 'passing': 35.29, 'rushing': 30.8}",-0.14,-0.02,-0.37,-0.03,-0.5,0.15,"{'total': -13.8, 'passing': -13.1, 'rushing': -13.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Georgia Southern,0.06,0.09,0.1,-0.06,0.22,0.48,"{'total': 12, 'passing': 11.35, 'rushing': 7.5}",0,0.12,-0.04,-0.04,-0.07,-0.09,"{'total': 0, 'passing': 88.7, 'rushing': -3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Georgia State,0.25,0.37,0.23,0.03,0.37,0.63,"{'total': 51.3, 'passing': 34.86, 'rushing': 23.8}",0.07,-0.03,0.28,0.12,-0.02,0.19,"{'total': 10.1, 'passing': -17.5, 'rushing': 19.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,Georgia Tech,0.13,0.17,0.1,0.15,-0.04,0.51,"{'total': 22.4, 'passing': 15.68, 'rushing': 7.5}",0.16,0.21,0.17,0.03,0,0.78,"{'total': 31.3, 'passing': 135.4, 'rushing': 21.6}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mountain West,Hawai'i,0.03,0.15,-0.06,-0.15,-0.01,0.34,"{'total': 7.6, 'passing': 21.38, 'rushing': -4.3}",0.13,0.02,0.22,0.22,-0.17,0.76,"{'total': 26.6, 'passing': 21.5, 'rushing': 24.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Houston,0.35,0.48,0.22,0.14,0.33,0.95,"{'total': 62.7, 'passing': 41.28, 'rushing': 19.9}",0.03,0.15,-0.02,-0.02,0.21,0.36,"{'total': 4.9, 'passing': 145.4, 'rushing': -1.1}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Illinois,0.28,0.49,0.11,0.2,0.49,0.23,"{'total': 44.6, 'passing': 39.95, 'rushing': 8.1}",0.15,0.21,0.11,-0.07,0.26,0.5,"{'total': 27.1, 'passing': 168.7, 'rushing': 10.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Indiana,0.53,1.05,0.19,0.4,0.37,1.19,"{'total': 69.1, 'passing': 52.75, 'rushing': 14.8}",-0.16,-0.07,-0.21,-0.18,0.02,0.11,"{'total': -22.7, 'passing': -48.9, 'rushing': -13.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Iowa,0.32,0.34,0.37,0.41,0.22,0.49,"{'total': 47.1, 'passing': 26.85, 'rushing': 25}",-0.15,-0.06,-0.19,-0.32,-0.16,0.12,"{'total': -15.2, 'passing': -29.1, 'rushing': -10.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Iowa State,0.24,0.34,0.24,0.14,0.33,0.47,"{'total': 33.5, 'passing': 16.98, 'rushing': 20.7}",-0.14,0,-0.2,-0.19,-0.1,0.14,"{'total': -20.4, 'passing': -1.2, 'rushing': -14.1}"
